run_id,condition,app,rep,overall_precision,overall_recall,overall_f1,num_turns,tool_calls,duration_s,model_s,tool_s,other_s,input_tokens,cache_creation_tokens,cache_read_tokens,effective_input_tokens,output_tokens,effective_tokens
official_faulty_baseline,baseline,WebTestBench_0001,1,0.5,0.3333,0.4,88,87,243.2,187.5,32.6,23.1,151,140367,5580897,"=IF(COUNT(N2,O2,P2)=0,"""",N2+O2*2+P2*0.1)",16500,"=IF(COUNT(Q2,R2)=0,"""",Q2+R2*3)"
official_faulty_baseline,baseline,WebTestBench_0001,2,0.0,0.0,0.0,120,118,399.4,233.5,39.2,126.7,191,216463,7464911,"=IF(COUNT(N3,O3,P3)=0,"""",N3+O3*2+P3*0.1)",18499,"=IF(COUNT(Q3,R3)=0,"""",Q3+R3*3)"
official_faulty_baseline,baseline,WebTestBench_0001,3,0.0,0.0,0.0,145,143,763.0,572.3,55.6,135.1,255,265402,10360441,"=IF(COUNT(N4,O4,P4)=0,"""",N4+O4*2+P4*0.1)",30774,"=IF(COUNT(Q4,R4)=0,"""",Q4+R4*3)"
official_faulty_baseline,baseline,WebTestBench_0001,4,0.2857,0.6667,0.4,106,104,478.4,343.7,34.6,100.1,159,198137,6432896,"=IF(COUNT(N5,O5,P5)=0,"""",N5+O5*2+P5*0.1)",20707,"=IF(COUNT(Q5,R5)=0,"""",Q5+R5*3)"
official_faulty_baseline,baseline,WebTestBench_0001,5,0.0,0.0,0.0,129,127,474.8,329.7,49.8,95.3,221,280711,7669039,"=IF(COUNT(N6,O6,P6)=0,"""",N6+O6*2+P6*0.1)",26198,"=IF(COUNT(Q6,R6)=0,"""",Q6+R6*3)"
official_faulty_baseline,baseline,WebTestBench_0001,6,0.0,0.0,0.0,102,100,342.2,203.7,39.0,99.5,165,118651,6383876,"=IF(COUNT(N7,O7,P7)=0,"""",N7+O7*2+P7*0.1)",16962,"=IF(COUNT(Q7,R7)=0,"""",Q7+R7*3)"
official_faulty_baseline,baseline,WebTestBench_0001,7,0.25,0.3333,0.2857,152,150,744.0,558.0,50.4,135.6,271,301333,10933826,"=IF(COUNT(N8,O8,P8)=0,"""",N8+O8*2+P8*0.1)",29406,"=IF(COUNT(Q8,R8)=0,"""",Q8+R8*3)"
official_faulty_baseline,baseline,WebTestBench_0001,8,0.0,0.0,0.0,158,156,458.7,267.8,53.4,137.5,229,308566,9194868,"=IF(COUNT(N9,O9,P9)=0,"""",N9+O9*2+P9*0.1)",23722,"=IF(COUNT(Q9,R9)=0,"""",Q9+R9*3)"
official_faulty_baseline,baseline,WebTestBench_0001,9,0.0,0.0,0.0,113,111,374.0,242.3,35.0,96.7,163,209999,6339366,"=IF(COUNT(N10,O10,P10)=0,"""",N10+O10*2+P10*0.1)",20680,"=IF(COUNT(Q10,R10)=0,"""",Q10+R10*3)"
official_faulty_baseline,baseline,WebTestBench_0001,10,0.0,0.0,0.0,161,159,578.1,382.4,64.2,131.5,277,257822,11294996,"=IF(COUNT(N11,O11,P11)=0,"""",N11+O11*2+P11*0.1)",32681,"=IF(COUNT(Q11,R11)=0,"""",Q11+R11*3)"
